Name, Played Count, Unique Pilots, Total Points, Average Points, Winrate, Non-Mirror No Byes Winrate, Trophies, Top Cuts, 2-X or better Count, Colors, Archetypes, Nicknames
WBRG Initiative, 3, 2, 18, 6.00, 0.60, 0.60, 0, 1, 2, WBRG, "midrange", "Blood Initiative"
Temur Midrange, 2, 2, 12, 6.00, 0.67, 0.60, 0, 0, 2, URG, "midrange", "RUG Midrange"
Gruul Cradlehoof, 7, 3, 24, 3.43, 0.38, 0.38, 0, 0, 2, RG, "combo", "Hoof, RG Hoof, GR Hoof"
Aluren, 5, 2, 18, 3.60, 0.35, 0.31, 0, 1, 2, WUBG, "combo, midrange", ""
Rakdos Goblins, 5, 4, 21, 4.20, 0.47, 0.43, 0, 0, 2, BR, "aggro, combo", "BR Goblins"
Medium Boros, 4, 2, 18, 4.50, 0.50, 0.45, 0, 0, 2, WR, "midrange", ""
Dimir Doomsday, 2, 1, 12, 6.00, 0.67, 0.67, 0, 0, 2, UB, "combo", ""
WUBG Food, 2, 1, 12, 6.00, 0.67, 0.67, 0, 0, 2, WUBG, "combo, midrange", ""
Selesnya Angels, 2, 1, 12, 6.00, 0.67, 0.67, 0, 0, 2, WG, "midrange", ""
Mardu Midrange, 2, 1, 16, 8.00, 0.76, 0.76, 0, 1, 2, WBR, "midrange", ""
UBwg Turbo Ring, 2, 1, 15, 7.50, 0.71, 0.71, 0, 1, 2, WUBG, "combo", ""
Temur Control, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, URG, "control", ""
Jund Initiative, 5, 2, 21, 4.20, 0.44, 0.44, 0, 1, 1, BRG, "midrange", ""
DoomsDragon, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, UBR, "combo", ""
WUBG Midrange, 4, 1, 16, 4.00, 0.44, 0.48, 0, 0, 1, WUBG, "midrange", ""
Simic Merfolk, 3, 1, 6, 2.00, 0.22, 0.25, 0, 0, 1, UG, "midrange", "UG Merfolk"
4C Pod, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, , "combo", ""
Azorius Control, 6, 4, 9, 1.50, 0.17, 0.18, 0, 0, 1, WU, "control", "UW Control"
Grixis Welder, 4, 2, 15, 3.75, 0.42, 0.36, 0, 0, 1, UBR, "combo, midrange", ""
Red Deck Bins, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, R, "aggro", ""
5C Seeker Walk, 2, 1, 9, 4.50, 0.50, 0.67, 0, 0, 1, WUBRG, "combo, midrange", ""
Grixis Tinker Reanimator, 2, 1, 6, 3.00, 0.33, 0.33, 0, 0, 1, UBR, "combo", ""
Dimir Ninjas, 3, 1, 12, 4.00, 0.44, 0.44, 0, 0, 1, UB, "tempo", "UB Ninjas"
Selesnya Legends, 3, 1, 9, 3.00, 0.33, 0.33, 0, 0, 1, WG, "midrange", "GW Legends, GW Maverick"
Sultai Thoracle, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, UBG, "combo, control", "BUG Thoracle"
Yawgmoth's Jacuzzi, 2, 1, 9, 4.50, 0.43, 0.60, 0, 1, 1, WUBG, "combo", ""
WURG Initiative, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WURG, "midrange", "Omnath Initiative, Sans Black Initiative"
Academy Prison, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WUBG, "combo, stax", ""
Jund Aristocrats, 2, 1, 9, 4.50, 0.50, 0.60, 0, 0, 1, BRG, "combo, midrange", ""
Boros Equipment, 6, 2, 18, 3.00, 0.33, 0.29, 0, 0, 1, WR, "aggro", "RW Equipment"
4C Initiative, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, , "midrange", ""
4C Artifacts, 2, 1, 9, 4.50, 0.50, 0.50, 0, 0, 1, , "", ""
WURG Tempo, 1, 1, 12, 12.00, 1.00, 1.00, 1, 1, 1, WURG, "tempo", "Jeskai Green Tempo, Spearmint Tempo"
Esper Dreadnaught Prison, 3, 1, 10, 3.33, 0.37, 0.37, 0, 0, 1, WUB, "stax", ""
WUBG Seeker Initiative, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WUBG, "combo, midrange", ""
WUBG Oath Control, 4, 2, 14, 3.50, 0.39, 0.39, 0, 0, 1, WUBG, "combo, control", ""
Mono Red Goblins, 1, 1, 9, 9.00, 1.00, 1.00, 1, 1, 1, R, "aggro, combo", ""
UBRG Welder, 2, 1, 12, 6.00, 0.57, 0.57, 0, 1, 1, UBRG, "combo, midrange", "Sans White Welder"
Azorius Moon, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WU, "control", "UW Moon"
Bant Seeker Walk, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WUG, "combo, midrange", ""
4C Blink Pod, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, , "midrange", ""
Esper Reanimator Thoracle, 2, 1, 12, 6.00, 0.57, 0.50, 0, 1, 1, WUB, "combo", ""
5C Legends, 4, 2, 12, 3.00, 0.33, 0.27, 0, 0, 1, WUBRG, "midrange", ""
Temur Lands Walks, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, URG, "midrange", ""
Golgari Hoof, 1, 1, 6, 6.00, 0.67, 0.50, 0, 0, 1, BG, "combo, midrange", ""
WUBR Welder, 2, 2, 12, 6.00, 0.57, 0.80, 1, 1, 1, WUBR, "combo, midrange", ""
Boros Midrange, 2, 1, 9, 4.50, 0.50, 0.40, 0, 0, 1, WR, "midrange", ""
Orzhov Martyr Proc, 2, 2, 9, 4.50, 0.50, 0.50, 0, 0, 1, WB, "midrange", ""
Orzhov Humans and Taxes, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WB, "aggro", ""
5C Blue Midrange, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WUBRG, "midrange", ""
Mono Black Midrange, 1, 1, 9, 9.00, 1.00, 1.00, 1, 1, 1, B, "midrange", ""
Abzan Lands Reanimator, 1, 1, 6, 6.00, 0.67, 0.50, 0, 0, 1, WBG, "combo", ""
Flying Men, 3, 2, 12, 4.00, 0.44, 0.44, 0, 0, 1, U, "tempo", ""
Mardu Initiative, 2, 1, 9, 4.50, 0.50, 0.50, 0, 0, 1, WBR, "midrange", ""
Golgari Pox, 3, 1, 12, 4.00, 0.44, 0.44, 0, 0, 1, BG, "stax", ""
Mono White Martyr Proc, 2, 1, 12, 6.00, 0.57, 0.57, 0, 1, 1, W, "midrange", ""
Sultai Control, 2, 1, 9, 4.50, 0.50, 0.50, 0, 0, 1, UBG, "control", ""
Yawgmoth's Will Storm, 3, 1, 12, 4.00, 0.44, 0.44, 0, 0, 1, WUBRG, "combo", ""
WUBG Initiative, 2, 1, 9, 4.50, 0.50, 0.50, 0, 0, 1, WUBG, "midrange", "Sans Red Initiative"
UBRG Thieves, 2, 1, 15, 7.50, 0.71, 0.71, 1, 1, 1, UBRG, "midrange", "Grixis Green Thieves"
Doomsday Breach, 2, 2, 9, 4.50, 0.50, 0.50, 0, 0, 1, UBR, "combo", ""
WUBG Lands Control, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WUBG, "control", ""
Dimir Tempo, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, UB, "tempo", ""
Bant Control, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WUG, "control", ""
Izzet Tempo, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, UR, "tempo", ""
Bant Vault, 1, 1, 9, 9.00, 0.75, 0.75, 0, 1, 1, WUG, "combo", ""
Jeskai Moon, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WUR, "control", ""
Mardu Tokens, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WBR, "midrange", ""
Sultai Artifact Midrange, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, UBG, "midrange", ""
5C Artifact Combo, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WUBRG, "combo", ""
Boros Tokens, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WR, "aggro", ""
Dimir High Tide, 1, 1, 1, 1.00, 0.11, 0.11, 0, 0, 0, UB, "combo", ""
Blue Moon, 5, 4, 15, 3.00, 0.33, 0.29, 0, 0, 0, UR, "control", ""
Esper Time Vault, 2, 2, 6, 3.00, 0.33, 0.33, 0, 0, 0, WUB, "combo", "Esper Vault"
Abzan Lands, 3, 3, 6, 2.00, 0.22, 0.22, 0, 0, 0, WBG, "midrange", ""
Zombies, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, B, "midrange", ""
Esper Control, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WUB, "control", ""
Esper Initiative, 3, 3, 3, 1.00, 0.11, 0.13, 0, 0, 0, WUB, "midrange", ""
Bant Enchantress, 2, 2, 6, 3.00, 0.33, 0.33, 0, 0, 0, WUG, "combo, stax", ""
4C Welder, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, , "combo, midrange", ""
Unknown, 7, 6, 6, 0.86, 0.10, 0.10, 0, 0, 0, , "", ""
Bant Midrange, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WUG, "midrange", ""
Dead Guy Dragons, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WBR, "combo", ""
Rakdos Pyromancer, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, BR, "midrange", ""
Jund Goblins, 3, 2, 6, 2.00, 0.22, 0.22, 0, 0, 0, BRG, "aggro, combo", ""
Death and Goblins, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WR, "aggro", "Boros Goblins, RW Goblins"
WURG Lands Midrange, 2, 2, 3, 1.50, 0.17, 0.17, 0, 0, 0, WURG, "midrange", "Sans Black Lands"
Grixis Tempo Doomsday, 1, 1, 3, 3.00, 0.33, 0.00, 0, 0, 0, UBR, "combo, tempo", ""
Esper Doomsday, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WUB, "combo", ""
Jeskai Breach, 2, 2, 3, 1.50, 0.17, 0.20, 0, 0, 0, WUR, "combo, control", "Jeskai Slushie"
Orzhov Tokens, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WB, "midrange", "BW Tokens"
The Rock, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, BG, "midrange", "Golgari Midrange"
4C Winota, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WBRG, "midrange", "Blood Winota"
Mardu Dead Guy Ale, 1, 1, 3, 3.00, 0.33, 0.00, 0, 0, 0, WBR, "midrange", ""
WBRG Aristocrats, 1, 1, 3, 3.00, 0.33, 0.00, 0, 0, 0, WBRG, "combo, midrange", ""
Abzan Aristocrats, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WBG, "combo, midrange", ""
Orzhov Control, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WB, "control", ""
5C Lands Combo, 2, 2, 0, 0.00, 0.00, 0.00, 0, 0, 0, WUBRG, "combo", ""
Grixis Tempo, 4, 1, 12, 3.00, 0.33, 0.40, 0, 0, 0, UBR, "tempo", ""
Medium Green, 2, 1, 3, 1.50, 0.17, 0.00, 0, 0, 0, G, "midrange", ""
Azorius Breach, 1, 1, 4, 4.00, 0.44, 0.44, 0, 0, 0, WU, "combo, control", ""
Gruul Ramp, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, RG, "midrange", ""
Channel Mirror, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WUBG, "combo", ""
Dimir Discard, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, UB, "midrange", ""
Dredge, 2, 1, 6, 3.00, 0.33, 0.33, 0, 0, 0, BRG, "midrange", ""
Naya Enchantress, 1, 1, 3, 3.00, 0.33, 0.00, 0, 0, 0, WRG, "combo", ""
Temur Tempo, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, URG, "tempo", ""
Sultai High Tide, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, UBG, "combo", ""
Abzan Angels, 2, 1, 3, 1.50, 0.17, 0.17, 0, 0, 0, WBG, "midrange", ""
WURG Pod, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WURG, "midrange", ""
WUBG Seeker Walk, 3, 1, 3, 1.00, 0.11, 0.13, 0, 0, 0, WUBG, "combo, midrange", "Sans Red Seeker Walk"
Sultai Lands Control, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, UBG, "control", ""
Esper Recurring Nightmare, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WUB, "combo", ""
Mono Blue Shops, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, U, "stax", ""
5C Cascade, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WUBRG, "midrange", ""
Orzhov Rector Control, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WB, "control, stax", ""
4C Blood, 2, 2, 6, 3.00, 0.33, 0.33, 0, 0, 0, WBRG, "midrange", ""
WUBG Food Chain, 2, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WUBG, "combo", ""
WUBR Tempo, 2, 1, 3, 1.50, 0.17, 0.20, 0, 0, 0, WUBR, "tempo", "Dark Jeskai Tempo"
Dimir Lotus Doomsday, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, UB, "combo", ""
Big Red, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, R, "midrange", ""
Abzan Enchantress, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WBG, "combo, midrange", ""
WUBG Enchantress, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WUBG, "combo", "Sans Red Enchantress"
Pattern Rector Food, 3, 1, 3, 1.00, 0.11, 0.14, 0, 0, 0, WBG, "combo, midrange", ""
5C Thoracle Lands Enchantress, 1, 1, 3, 3.00, 0.33, 0.00, 0, 0, 0, WUBRG, "combo", ""
Hermit Pattern Aluren, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WBRG, "combo", ""
Selesnya Enchantress, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WG, "midrange", ""
Naya Midrange, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WRG, "midrange", ""
Jund Madness, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, BRG, "aggro", ""
Sultai Elves, 1, 1, 3, 3.00, 0.33, 0.00, 0, 0, 0, UBG, "midrange", ""
5C Food Chain, 1, 1, 3, 3.00, 0.33, 0.00, 0, 0, 0, WUBRG, "combo", ""
WUBG Food Legends, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WUBG, "midrange", ""
